slug,name,owner,repo,homepage_url,repo_url,category
activepieces,ActivePieces,activepieces,activepieces,https://www.activepieces.com/,https://github.com/activepieces/activepieces,workflow-automation
aider,Aider AI Pair Programmer,Aider-AI,aider,https://aider.chat/,https://github.com/Aider-AI/aider,code-assistants
animatediff,AnimateDiff,guoyww,AnimateDiff,https://github.com/guoyww/AnimateDiff,https://github.com/guoyww/AnimateDiff,video-generation
anythingllm,AnythingLLM,Mintplex-Labs,anything-llm,https://anythingllm.com/,https://github.com/Mintplex-Labs/anything-llm,chat-interfaces
apache-spark,Apache Spark Engine,apache,spark,https://spark.apache.org/,https://github.com/apache/spark,data-utilities
arize-phoenix,Arize Phoenix,Arize-ai,phoenix,https://github.com/Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,monitoring-observability
audiocraft,AudioCraft (MusicGen/AudioGen),facebookresearch,audiocraft,https://github.com/facebookresearch/audiocraft,https://github.com/facebookresearch/audiocraft,text-to-speech
autogen-microsoft,AutoGen (Microsoft),microsoft,autogen,https://github.com/microsoft/autogen,https://github.com/microsoft/autogen,agent-frameworks
autogpt,AutoGPT Platform,Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,agent-frameworks
axolotl,Axolotl Fine-Tuning,axolotl-ai-cloud,axolotl,https://github.com/axolotl-ai-cloud/axolotl,https://github.com/axolotl-ai-cloud/axolotl,fine-tuning-training
bark,Bark Audio Synthesizer,suno-ai,bark,https://github.com/suno-ai/bark,https://github.com/suno-ai/bark,text-to-speech
bentoml,BentoML Serving,bentoml,BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,deployment
bge-m3,BGE-M3 Embeddings,BAAI,bge-m3,https://huggingface.co/BAAI/bge-m3,https://huggingface.co/BAAI/bge-m3,embedding-models
buzz,Buzz Transcribe,chidiwilliams,buzz,https://github.com/chidiwilliams/buzz,https://github.com/chidiwilliams/buzz,speech-to-text
candle,Candle Framework (Rust),huggingface,candle,https://github.com/huggingface/candle,https://github.com/huggingface/candle,llm-inference
chatbox-ai,Chatbox AI,chatboxai,chatbox,https://github.com/chatboxai/chatbox,https://github.com/chatboxai/chatbox,chat-interfaces
chattts,ChatTTS,2noise,ChatTTS,https://github.com/2noise/ChatTTS,https://github.com/2noise/ChatTTS,text-to-speech
chroma,Chroma DB,chroma-core,chroma,https://www.trychroma.com/,https://github.com/chroma-core/chroma,vector-databases
codegeex,CodeGeeX,zai-org,CodeGeeX,https://github.com/THUDM/CodeGeeX,https://github.com/zai-org/CodeGeeX,code-assistants
cogvideox,CogVideoX,zai-org,CogVideo,https://github.com/THUDM/CogVideo,https://github.com/zai-org/CogVideo,video-generation
comet-opik,Comet Opik,comet-ml,opik,https://github.com/comet-ml/opik,https://github.com/comet-ml/opik,monitoring-observability
comfyui,ComfyUI,Comfy-Org,ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/Comfy-Org/ComfyUI,image-generation
continue,Continue Code Assistant,continuedev,continue,https://continue.dev/,https://github.com/continuedev/continue,code-assistants
coqui-tts,Coqui TTS,coqui-ai,TTS,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,text-to-speech
crewai,CrewAI Framework,crewAIInc,crewAI,https://www.crewai.com/open-source,https://github.com/crewAIInc/crewAI,agent-frameworks
datacleaner,DataCleaner,datacleaner,DataCleaner,https://github.com/datacleaner/DataCleaner,https://github.com/datacleaner/DataCleaner,data-utilities
deepseek-coder,DeepSeek-Coder,deepseek-ai,DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder,code-assistants
deepseek-r1,DeepSeek R1,deepseek-ai,DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,llm-models
deepseek-v3,DeepSeek V3,deepseek-ai,DeepSeek-V3,https://deepseek.com/,https://github.com/deepseek-ai/DeepSeek-V3,llm-models
deepseek-vl2,DeepSeek-VL2,deepseek-ai,DeepSeek-VL2,https://github.com/deepseek-ai/DeepSeek-VL2,https://github.com/deepseek-ai/DeepSeek-VL2,vision-multimodal
demucs,Demucs Audio Separation,facebookresearch,demucs,https://github.com/facebookresearch/demucs,https://github.com/facebookresearch/demucs,data-utilities
diffusionbee,DiffusionBee,divamgupta,diffusionbee-stable-diffusion-ui,https://diffusionbee.com/,https://github.com/divamgupta/diffusionbee-stable-diffusion-ui,image-generation
dify,Dify Orchestration,langgenius,dify,https://dify.ai/,https://github.com/langgenius/dify,workflow-automation
doctr,docTR,mindee,doctr,https://github.com/mindee/doctr,https://github.com/mindee/doctr,rag-document
draw-things,Draw Things,drawthingsai,draw-things-community,https://drawthings.ai/,https://github.com/drawthingsai/draw-things-community,image-generation
duckdb,DuckDB Embedded Analytics,duckdb,duckdb,https://duckdb.org/,https://github.com/duckdb/duckdb,data-utilities
dvc,DVC (Data Version Control),treeverse,dvc,https://dvc.org/,https://github.com/treeverse/dvc,data-utilities
e5-microsoft,E5 Embeddings,intfloat,multilingual-e5-large,https://huggingface.co/intfloat/multilingual-e5-large,https://huggingface.co/intfloat/multilingual-e5-large,embedding-models
easyocr,EasyOCR,JaidedAI,EasyOCR,https://github.com/JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,rag-document
exllamav2,ExLlamaV2 Engine,turboderp-org,exllamav2,https://github.com/turboderp-org/exllamav2,https://github.com/turboderp-org/exllamav2,llm-inference
faiss,FAISS (Meta),facebookresearch,faiss,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,vector-databases
falcon-2-vlm,Falcon 2 VLM,tiiuae,falcon-11B-vlm,https://huggingface.co/tiiuae/falcon-11B-vlm,https://huggingface.co/tiiuae/falcon-11B-vlm,vision-multimodal
faster-whisper,faster-whisper,SYSTRAN,faster-whisper,https://github.com/SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,speech-to-text
fish-speech,Fish Speech,fishaudio,fish-speech,https://github.com/fishaudio/fish-speech,https://github.com/fishaudio/fish-speech,text-to-speech
florence-2,Florence-2 (Microsoft),microsoft,Florence-2-large,https://huggingface.co/microsoft/Florence-2-large,https://huggingface.co/microsoft/Florence-2-large,vision-multimodal
flowise,Flowise No-Code AI,FlowiseAI,Flowise,https://flowiseai.com/,https://github.com/FlowiseAI/Flowise,workflow-automation
flux-1,FLUX.1 Model,black-forest-labs,flux,https://github.com/black-forest-labs/flux,https://github.com/black-forest-labs/flux,image-generation
fooocus,Fooocus,lllyasviel,Fooocus,https://github.com/lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,image-generation
garak,Garak Vulnerability Scanner,NVIDIA,garak,https://github.com/leondz/garak,https://github.com/NVIDIA/garak,privacy-security
gaussian-splatting,3D Gaussian Splatting,graphdeco-inria,gaussian-splatting,https://repo-sam.inria.fr/gspd/gaussian-splatting/,https://github.com/graphdeco-inria/gaussian-splatting,vision-multimodal
